filename,emotion,genre,instrument,prompt,seed,duration_seconds,sampling_rate,model,guidance_scale,max_new_tokens
happy_001.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2027,29.94,32000,facebook/musicgen-small,3.0,1500
happy_002.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2028,29.94,32000,facebook/musicgen-small,3.0,1500
happy_003.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2029,29.94,32000,facebook/musicgen-small,3.0,1500
happy_004.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2030,29.94,32000,facebook/musicgen-small,3.0,1500
happy_005.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2031,29.94,32000,facebook/musicgen-small,3.0,1500
happy_006.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2032,29.94,32000,facebook/musicgen-small,3.0,1500
happy_007.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2033,29.94,32000,facebook/musicgen-small,3.0,1500
happy_008.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2034,29.94,32000,facebook/musicgen-small,3.0,1500
happy_009.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2035,29.94,32000,facebook/musicgen-small,3.0,1500
happy_010.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2036,29.94,32000,facebook/musicgen-small,3.0,1500
happy_011.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2037,29.94,32000,facebook/musicgen-small,3.0,1500
happy_012.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2038,29.94,32000,facebook/musicgen-small,3.0,1500
happy_013.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2039,29.94,32000,facebook/musicgen-small,3.0,1500
happy_014.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2040,29.94,32000,facebook/musicgen-small,3.0,1500
happy_015.wav,Happy,Western Classical,Solo Piano,"Western classical solo piano music expressing happiness. Instrumental only, solo piano only.",2041,29.94,32000,facebook/musicgen-small,3.0,1500
sad_001.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2042,29.94,32000,facebook/musicgen-small,3.0,1500
sad_002.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2043,29.94,32000,facebook/musicgen-small,3.0,1500
sad_003.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2044,29.94,32000,facebook/musicgen-small,3.0,1500
sad_004.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2045,29.94,32000,facebook/musicgen-small,3.0,1500
sad_005.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2046,29.94,32000,facebook/musicgen-small,3.0,1500
sad_006.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2047,29.94,32000,facebook/musicgen-small,3.0,1500
sad_007.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2048,29.94,32000,facebook/musicgen-small,3.0,1500
sad_008.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2049,29.94,32000,facebook/musicgen-small,3.0,1500
sad_009.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2050,29.94,32000,facebook/musicgen-small,3.0,1500
sad_010.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2051,29.94,32000,facebook/musicgen-small,3.0,1500
sad_011.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2052,29.94,32000,facebook/musicgen-small,3.0,1500
sad_012.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2053,29.94,32000,facebook/musicgen-small,3.0,1500
sad_013.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2054,29.94,32000,facebook/musicgen-small,3.0,1500
sad_014.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2055,29.94,32000,facebook/musicgen-small,3.0,1500
sad_015.wav,Sad,Western Classical,Solo Piano,"Western classical solo piano music expressing sadness. Instrumental only, solo piano only.",2056,29.94,32000,facebook/musicgen-small,3.0,1500
calm_001.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2057,29.94,32000,facebook/musicgen-small,3.0,1500
calm_002.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2058,29.94,32000,facebook/musicgen-small,3.0,1500
