feature,domain_emotion,value
rms_mean,EMOPIA Happy,-0.14228538795843082
rms_mean,EMOPIA Happy,-0.3161806788300277
rms_mean,EMOPIA Happy,-0.10660055547353009
rms_mean,EMOPIA Happy,0.23761850178959454
rms_mean,EMOPIA Happy,0.9100691765492326
rms_mean,EMOPIA Happy,0.990778102459181
rms_mean,EMOPIA Happy,0.29101728470050287
rms_mean,EMOPIA Happy,0.826380076742778
rms_mean,EMOPIA Happy,0.9584541221676395
rms_mean,EMOPIA Happy,-0.3283418764070988
rms_mean,EMOPIA Happy,-0.7082074885853271
rms_mean,EMOPIA Happy,-0.3034343063503703
rms_mean,EMOPIA Happy,-0.46651469809656876
rms_mean,EMOPIA Happy,-0.5015310422469216
rms_mean,EMOPIA Happy,-0.12034179520094103
rms_mean,EMOPIA Happy,0.18186806617382692
rms_mean,EMOPIA Happy,0.15763865580107997
rms_mean,EMOPIA Happy,0.03362503926624379
rms_mean,EMOPIA Happy,-0.394355128573914
rms_mean,EMOPIA Happy,-0.12150212408979859
rms_mean,EMOPIA Happy,-0.35736606218130845
rms_mean,EMOPIA Happy,-0.216602017974217
rms_mean,EMOPIA Happy,-0.538710273004513
rms_mean,EMOPIA Happy,1.4178446190824674
rms_mean,EMOPIA Happy,1.3768029077054749
rms_mean,EMOPIA Happy,0.8100932912324815
rms_mean,EMOPIA Happy,1.0265217786967202
rms_mean,EMOPIA Happy,1.5122586628122516
rms_mean,EMOPIA Happy,0.5608134436262325
rms_mean,EMOPIA Happy,1.5285111907715059
rms_mean,EMOPIA Happy,1.6691135020505217
rms_mean,EMOPIA Happy,1.7423342399996622
rms_mean,EMOPIA Happy,0.7403808061640169
rms_mean,EMOPIA Happy,1.5405204432922328
rms_mean,EMOPIA Happy,-1.3291452353147357
rms_mean,EMOPIA Happy,0.21753204117015967
rms_mean,EMOPIA Happy,1.4912695040704962
rms_mean,EMOPIA Happy,1.027476795323858
rms_mean,EMOPIA Happy,0.17806081711632196
rms_mean,EMOPIA Happy,0.5797574032660262
rms_mean,EMOPIA Happy,3.224919483711152
rms_mean,EMOPIA Happy,1.5767260138574957
rms_mean,EMOPIA Happy,1.5234974700012778
rms_mean,EMOPIA Happy,1.7951265244302983
rms_mean,EMOPIA Happy,0.5759417646041923
rms_mean,EMOPIA Happy,0.7827257027481809
rms_mean,EMOPIA Happy,0.5899505394921578
rms_mean,EMOPIA Happy,0.6066859357899648
rms_mean,EMOPIA Happy,0.16456252634786925
rms_mean,EMOPIA Happy,-0.6408386744453803
rms_mean,EMOPIA Happy,-0.41077055468405094
rms_mean,EMOPIA Happy,-0.4924030362048751
